location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Temperature,Sunshine Duration,Precipitation Total,Snowfall Amount,Relative Humidity,Cloud Cover Total,Wind Speed,Wind Direction
unit,°C,°C,min,mm,cm,%,%,km/h,°
level,2 m elevation corrected,700 mb,sfc,sfc,sfc,2 m,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [700 mb],Basel Sunshine Duration,Basel Precipitation Total,Basel Snowfall Amount,Basel Relative Humidity [2 m],Basel Cloud Cover Total,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20220101T0000,9.710529,-0.33,0.0,0.0,0.0,67.0,0.0,5.8048253,119.74488
20220101T0100,9.190529,0.0,0.0,0.0,0.0,74.0,0.0,6.696387,143.74615
20220101T0200,9.060529,0.32,0.0,0.0,0.0,66.0,0.0,7.729527,152.24146
20220101T0300,8.900529,0.36,0.0,0.0,0.0,59.0,0.0,8.287822,145.61966
20220101T0400,8.740529,0.41,0.0,0.0,0.0,56.0,0.0,8.14587,135.0
20220101T0500,8.290529,0.41,0.0,0.0,0.0,58.0,0.0,7.7043357,127.40535
20220101T0600,7.9805284,0.62,0.0,0.0,0.0,63.0,0.0,7.729527,117.75854
20220101T0700,7.4105287,0.76,0.0,0.0,0.0,67.0,0.3,8.089993,110.854454
20220101T0800,6.9405284,0.97,0.0,0.0,0.0,67.0,0.3,8.427383,109.9831
20220101T0900,6.3805285,1.32,0.0,0.0,0.0,66.0,0.90000004,8.891344,111.37062
20220101T1000,5.8405285,1.54,43.09596,0.0,0.0,66.0,2.4,9.0,106.2602
20220101T1100,6.0705285,1.71,59.636364,0.0,0.0,69.0,0.6,9.449572,107.74467
20220101T1200,7.9105287,1.99,59.81818,0.0,0.0,72.0,0.3,10.24578,108.434944
20220101T1300,10.280529,2.19,60.0,0.0,0.0,71.0,0.0,9.885262,100.49147
20220101T1400,11.510529,2.73,56.545456,0.0,0.0,68.0,5.7000003,10.390226,104.03624
20220101T1500,12.910529,2.42,57.090908,0.0,0.0,67.0,4.8,9.9571085,102.52881
20220101T1600,13.560529,2.44,59.272728,0.0,0.0,68.0,1.2,10.239453,100.124664
20220101T1700,13.080529,2.54,60.0,0.0,0.0,69.0,0.0,11.090103,103.13402
20220101T1800,12.130529,2.71,51.15,0.0,0.0,69.0,0.0,11.841756,109.53665
20220101T1900,9.540529,2.71,0.0,0.0,0.0,80.0,0.0,11.770403,113.42869
20220101T2000,7.9305286,2.45,0.0,0.0,0.0,86.0,0.0,9.83268,113.7495
20220101T2100,7.1705284,2.17,0.0,0.0,0.0,87.0,0.0,9.028754,113.498566
20220101T2200,7.0205283,1.72,0.0,0.0,0.0,84.0,0.0,7.754637,111.80141
20220101T2300,7.6405287,1.43,0.0,0.0,0.0,76.0,0.0,7.24486,116.56505
20220102T0000,8.490529,1.45,0.0,0.0,0.0,66.0,0.0,7.42159,112.83366
20220102T0100,8.780529,1.34,0.0,0.0,0.0,60.0,0.0,7.968939,108.434944
20220102T0200,8.600529,1.09,0.0,0.0,0.0,60.0,5.0,8.766573,109.17901
20220102T0300,8.200529,0.91,0.0,0.0,0.0,61.0,30.0,9.028754,113.498566
20220102T0400,8.350529,0.49,0.0,0.0,0.0,61.0,6.3,8.373386,115.46334
20220102T0500,8.010529,0.07,0.0,0.0,0.0,63.0,42.0,9.360001,112.61986
20220102T0600,7.6305285,-0.09,0.0,0.0,0.0,66.0,39.0,9.693296,111.80141
20220102T0700,7.1205287,-0.36,0.0,0.0,0.0,70.0,32.0,9.028754,113.498566
20220102T0800,7.0005283,-0.48,0.0,0.0,0.0,71.0,27.0,7.754637,111.80141
